LibraryName,TypeNodeName,FullTransform,PartialTransform,NotTransform
frmActionOrderRequest,ParamList,0,0,10
frmActionOrderRequest,BaseInit,0,0,1
frmActionOrderRequest,ArgList,0,0,66
frmActionOrderRequest,Block,0,0,37
frmActionOrderRequest,If,0,0,16
frmActionOrderRequest,Eql,0,0,9
frmActionOrderRequest,SingleAccess,0,0,180
frmActionOrderRequest,ExpressionStat,0,0,69
frmActionOrderRequest,Assign,0,0,47
frmActionOrderRequest,This,0,0,10
frmActionOrderRequest,Else,0,0,3
frmActionOrderRequest,Try,0,0,3
frmActionOrderRequest,And,0,0,1
frmActionOrderRequest,NotEql,0,0,4
frmActionOrderRequest,ExprMemberAccess,0,0,163
frmActionOrderRequest,Call,0,0,65
frmActionOrderRequest,MemberAccess,0,0,166
frmActionOrderRequest,ThisMemberAccess,0,0,3
frmActionOrderRequest,Catch,0,0,3
frmActionOrderRequest,Arg,0,0,63
frmActionOrderRequest,Method,0,0,9
frmActionOrderRequest,Param,0,0,9
frmActionOrderRequest,Return,0,0,6
frmActionOrderRequest,Plus,0,0,50
frmActionOrderRequest,ExceptionSpec,0,0,2
frmActionOrderRequest,Switch,0,0,1
frmActionOrderRequest,Nested,0,0,1
frmActionOrderRequest,SwitchSection,0,0,2
frmActionOrderRequest,Case,0,0,2
frmActionOrderRequest,Break,0,0,2
frmActionOrderRequest,ExprElementAccess,0,0,20
frmActionOrderRequest,IndexList,0,0,20
frmActionOrderRequest,LocalVarStat,0,0,3
frmActionOrderRequest,LocalVar,0,0,4
frmActionOrderRequest,Not,0,0,5
frmActionOrderRequest,Mult,0,0,1
frmActionOrderRequest,While,0,0,1
frmActionOrderRequest,For,0,0,1
frmActionOrderRequest,ForInit,0,0,1
frmActionOrderRequest,LtEq,0,0,1
frmActionOrderRequest,Inc,0,0,2
frmActionOrderRequest,Minus,0,0,2
frmSplash,CompilationUnit,0,0,1
frmSplash,UsingNamespace,0,0,3
frmSplash,DotName,0,0,6
frmSplash,SimpleName,0,0,17
frmSplash,Namespace,0,0,1
frmSplash,Class,0,0,1
frmSplash,TypeBase,0,0,1
frmSplash,TypeRef,0,0,7
frmSplash,Constructor,0,0,1
frmSplash,ParamList,0,0,4
frmSplash,BaseInit,0,0,1
frmSplash,ArgList,0,0,9
frmSplash,Block,0,0,13
frmSplash,If,0,0,4
frmSplash,Eql,0,0,3
frmSplash,SingleAccess,0,0,14
frmSplash,Literal,0,0,4
frmSplash,ExpressionStat,0,0,7
frmSplash,Assign,0,0,4
frmSplash,This,0,0,5
frmSplash,Else,0,0,1
frmSplash,Try,0,0,2
frmSplash,And,0,0,1
frmSplash,NotEql,0,0,1
frmSplash,ExprMemberAccess,0,0,14
frmSplash,Call,0,0,8
frmSplash,MemberAccess,0,0,17
frmSplash,ThisMemberAccess,0,0,3
frmSplash,Catch,0,0,1
frmSplash,Method,0,0,3
frmSplash,AliasTypeRef,0,0,4
frmSplash,Param,0,0,6
frmSplash,LocalVarStat,0,0,1
frmSplash,LocalVar,0,0,1
frmSplash,VarDeclarator,0,0,1
frmSplash,VarInit,0,0,1
frmSplash,Arg,0,0,2
frmSplash,Finally,0,0,1
frmOrderReception,CompilationUnit,0,0,1
frmOrderReception,UsingNamespace,0,0,7
frmOrderReception,DotName,0,0,14
frmOrderReception,SimpleName,0,0,74
frmOrderReception,Namespace,0,0,1
frmOrderReception,Class,0,0,1
frmOrderReception,TypeBase,0,0,1
frmOrderReception,TypeRef,0,0,52
frmOrderReception,Field,0,0,9
frmOrderReception,AliasTypeRef,0,0,89
frmOrderReception,VarDeclarator,0,0,33
frmOrderReception,VarInit,0,0,33
frmOrderReception,Literal,0,0,224
frmOrderReception,Constructor,0,0,1
frmOrderReception,ParamList,0,0,32
frmOrderReception,BaseInit,0,0,1
frmOrderReception,ArgList,0,0,127
frmOrderReception,Block,0,0,108
frmOrderReception,If,0,0,46
frmOrderReception,Eql,0,0,32
frmOrderReception,SingleAccess,0,0,472
frmOrderReception,ExpressionStat,0,0,170
frmOrderReception,Assign,0,0,114
frmOrderReception,This,0,0,9
frmOrderReception,Else,0,0,15
frmOrderReception,Try,0,0,8
frmOrderReception,And,0,0,5
frmOrderReception,NotEql,0,0,9
frmOrderReception,ExprMemberAccess,0,0,351
frmOrderReception,Call,0,0,125
frmOrderReception,MemberAccess,0,0,354
frmOrderReception,ThisMemberAccess,0,0,3
frmOrderReception,Catch,0,0,2
frmOrderReception,Arg,0,0,113
frmOrderReception,Method,0,0,31
frmOrderReception,Param,0,0,50
frmOrderReception,Plus,0,0,65
frmOrderReception,DefArg,0,0,1
frmOrderReception,LocalVarStat,0,0,23
frmOrderReception,LocalVar,0,0,24
frmOrderReception,Not,0,0,14
frmOrderReception,While,0,0,2
frmOrderReception,ExprElementAccess,0,0,34
frmOrderReception,IndexList,0,0,34
frmOrderReception,Nested,0,0,24
frmOrderReception,Minus,0,0,7
frmOrderReception,For,0,0,3
frmOrderReception,ForInit,0,0,3
frmOrderReception,ForExprs,0,0,2
frmOrderReception,LtEq,0,0,7
frmOrderReception,Inc,0,0,6
frmOrderReception,Mult,0,0,5
frmOrderReception,ExceptionSpec,0,0,1
frmOrderReception,Return,0,0,4
frmOrderReception,Or,0,0,17
frmOrderReception,GtEq,0,0,4
frmOrderReception,Finally,0,0,6
frmOrderReception,Cast,0,0,24
frmOrderReception,Div,0,0,1
frmOrderReception,Switch,0,0,1
frmOrderReception,SwitchSection,0,0,6
frmOrderReception,Case,0,0,6
frmOrderReception,Break,0,0,6
frmOrderReception,Gt,0,0,2
frmOrderReception,Dec,0,0,2
frmOrderReception,Lt,0,0,3
frmOrderReception,Cond,0,0,1
frmOrderReception,NewObject,0,0,1
frmOrderReception,Negate,0,0,1
frmActionOrderReception,CompilationUnit,0,0,1
frmActionOrderReception,UsingNamespace,0,0,5
frmActionOrderReception,DotName,0,0,11
frmActionOrderReception,SimpleName,0,0,30
frmActionOrderReception,Namespace,0,0,1
frmActionOrderReception,Class,0,0,1
frmActionOrderReception,TypeBase,0,0,1
frmActionOrderReception,TypeRef,0,0,13
frmActionOrderReception,Field,0,0,7
frmActionOrderReception,AliasTypeRef,0,0,22
frmActionOrderReception,VarDeclarator,0,0,12
frmActionOrderReception,VarInit,0,0,12
frmActionOrderReception,Literal,0,0,167
frmActionOrderReception,Constructor,0,0,1
frmActionOrderReception,ParamList,0,0,10
frmActionOrderReception,BaseInit,0,0,1
frmActionOrderReception,ArgList,0,0,99
frmActionOrderReception,Block,0,0,38
frmActionOrderReception,If,0,0,16
frmActionOrderReception,Eql,0,0,9
frmActionOrderReception,SingleAccess,0,0,233
frmActionOrderReception,ExpressionStat,0,0,78
frmActionOrderReception,Assign,0,0,46
frmActionOrderReception,This,0,0,10
frmActionOrderReception,Else,0,0,3
frmActionOrderReception,Try,0,0,3
frmActionOrderReception,And,0,0,1
frmActionOrderReception,NotEql,0,0,4
frmActionOrderReception,ExprMemberAccess,0,0,213
frmActionOrderReception,Call,0,0,96
frmActionOrderReception,MemberAccess,0,0,216
frmActionOrderReception,ThisMemberAccess,0,0,3
frmActionOrderReception,Catch,0,0,3
frmActionOrderReception,Arg,0,0,90
frmActionOrderReception,Method,0,0,9
frmActionOrderReception,Param,0,0,9
frmActionOrderReception,Return,0,0,6
frmActionOrderReception,Plus,0,0,114
frmActionOrderReception,LocalVarStat,0,0,4
frmActionOrderReception,LocalVar,0,0,5
frmActionOrderReception,While,0,0,2
frmActionOrderReception,Not,0,0,6
frmActionOrderReception,ExprElementAccess,0,0,30
frmActionOrderReception,IndexList,0,0,30
frmActionOrderReception,ExceptionSpec,0,0,2
frmActionOrderReception,Switch,0,0,1
frmActionOrderReception,Nested,0,0,1
frmActionOrderReception,SwitchSection,0,0,2
frmActionOrderReception,Case,0,0,2
frmActionOrderReception,NewObject,0,0,2
frmActionOrderReception,Break,0,0,2
frmActionOrderReception,Mult,0,0,1
frmActionOrderReception,For,0,0,1
frmActionOrderReception,ForInit,0,0,1
frmActionOrderReception,LtEq,0,0,1
frmActionOrderReception,Inc,0,0,2
